公司代號,公司名稱,當月營收,上月營收,上上月營收,上上上月營收,MOM,去年同期營收,YOY
程式執行時間,2021-08-04 00:31:36AM
,110年度,6月
1446,宏和,"9,574","10,211","10,098","23,483",-6.24,"35,386",-72.94
1447,力鵬,"1,955,590","2,263,198","1,910,183","2,298,590",-13.59,"731,202",167.45
1449,佳和,"333,575","250,156","251,070","248,198",33.35,"183,311",81.97
1451,年興,"685,864","596,702","572,110","723,142",14.94,"638,348",7.44
1452,宏益,"162,515","165,986","162,389","201,142",-2.09,"65,767",147.11
1453,大將,38,38,38,38,0.0,56,-32.14
1454,台富,"163,692","127,550","127,762","127,728",28.34,"61,594",165.76
1455,集盛,"923,139","934,445","886,296","825,740",-1.21,"503,149",83.47
1456,怡華,"184,154","602,756","58,290","43,972",-69.45,"24,958",637.86
1457,宜進,"381,444","374,574","371,454","362,143",1.83,"170,335",123.94
1459,聯發,"187,016","193,385","221,026","256,290",-3.29,"85,472",118.8
1460,宏遠,"720,402","744,338","740,461","733,251",-3.22,"455,077",58.3
1463,強盛,"25,946","41,311","45,616","40,940",-37.19,"14,585",77.9
1464,得力,"888,247","873,158","857,655","918,042",1.73,"483,742",83.62
1465,偉全,"44,120","30,467","16,147","28,521",44.81,"37,502",17.65
1466,聚隆,"353,163","294,480","262,488","315,388",19.93,"143,682",145.79
1467,南緯,"547,855","465,008","487,758","542,767",17.82,"800,319",-31.55
1468,昶和,"84,741","101,263","118,037","84,514",-16.32,"72,359",17.11
1470,大統新創,"84,433","73,372","76,700","81,307",15.08,"25,867",226.41
1471,首利,"23,511","29,005","40,805","53,044",-18.94,"117,960",-80.07
1472,三洋紡,"46,556","81,123","51,915","18,633",-42.61,"21,547",116.07
1473,台南,"350,096","183,663","384,725","610,081",90.62,"490,280",-28.59
1474,弘裕,"270,784","273,149","265,400","328,823",-0.87,"209,272",29.39
1475,業旺,"10,071","16,641","10,945","18,677",-39.48,"8,841",13.91
1476,儒鴻,"3,224,171","3,404,550","3,158,046","3,111,846",-5.3,"1,934,033",66.71
1477,聚陽,"2,214,611","1,560,469","2,345,903","2,628,521",41.92,"2,153,860",2.82
1503,士電,"2,423,094","2,167,952","2,429,347","2,519,443",11.77,"2,137,689",13.35
1504,東元,"4,867,469","4,439,686","4,181,903","4,436,522",9.64,"4,406,855",10.45
1506,正道,"98,750","81,044","67,722","101,710",21.85,"74,320",32.87
1507,永大,"1,510,028","1,640,398","1,494,053","1,507,597",-7.95,"1,367,701",10.41
1512,瑞利,"107,317","75,439","102,657","75,909",42.26,"59,754",79.6
1513,中興電,"1,339,572","1,043,468","1,678,387","2,204,727",28.38,"1,029,142",30.16
1514,亞力,"506,362","452,007","386,044","419,387",12.03,"417,133",21.39
1515,力山,"2,014,978","1,497,563","1,471,519","1,302,442",34.55,"740,710",172.03
1516,川飛,"122,211","111,248","191,365","92,024",9.85,"52,728",131.78
1517,利奇,"419,359","408,181","385,312","405,341",2.74,"269,436",55.64
1519,華城,"971,935","723,841","683,460","709,451",34.27,"670,184",45.03
1521,大億,"408,417","440,727","392,103","495,429",-7.33,"371,195",10.03
