程式執行時間,2021-08-12 22:33:24
,110年度,7月
公司代號,公司名稱,當月營收,上月營收,上上月營收,上上上月營收,MOM,去年同期營收,YOY,收盤價
1439,中和,"5,312","4,245","8,858","5,984",25.14,"7,998",-33.58,22.65
1440,南紡,"1,721,379","1,834,576","1,592,547","1,891,812",-6.17,"1,348,536",27.65,23.5
1441,大東,"136,255","119,309","147,229","113,161",14.2,"125,484",8.58,10.15
1442,名軒,"1,410,541","591,123","347,697","56,129",138.62,"836,684",68.59,18.35
1443,立益,"64,877","45,266","55,089","54,808",43.32,"41,296",57.1,nan
1444,力麗,"1,083,349","978,966","849,439","771,799",10.66,"601,444",80.12,11.3
1445,大宇,"107,528","99,244","96,775","95,403",8.35,"66,974",60.55,11.95
1446,宏和,"13,694","9,574","10,211","10,098",43.03,"28,078",-51.23,31.1
1447,力鵬,"2,046,479","1,955,590","2,263,198","1,910,183",4.65,"622,904",228.54,11.05
1449,佳和,"273,727","333,575","250,156","251,070",-17.94,"86,690",215.75,17.35
1451,年興,"757,841","685,864","596,702","572,110",10.49,"669,496",13.2,21.0
1452,宏益,"167,154","162,515","165,986","162,389",2.85,"81,921",104.04,24.75
1453,大將,38,38,38,38,0.0,"172,376",-99.98,8.64
1454,台富,"150,961","163,692","127,550","127,762",-7.78,"89,393",68.87,10.15
1455,集盛,"1,007,763","923,139","934,445","886,296",9.17,"523,263",92.59,19.6
1456,怡華,"429,328","184,154","602,756","58,290",133.14,"44,070",874.2,25.4
1457,宜進,"350,585","381,444","374,574","371,454",-8.09,"171,135",104.86,17.7
1459,聯發,"213,216","187,016","193,385","221,026",14.01,"108,393",96.71,13.65
1460,宏遠,"692,595","720,402","744,338","740,461",-3.86,"555,886",24.59,11.35
1463,強盛,"41,995","25,946","41,311","45,616",61.86,"25,016",67.87,14.35
1464,得力,"809,029","888,247","873,158","857,655",-8.92,"473,280",70.94,17.2
1465,偉全,"40,990","44,120","30,467","16,147",-7.09,"25,290",62.08,13.1
1466,聚隆,"342,004","353,163","294,480","262,488",-3.16,"213,118",60.48,17.6
1467,南緯,"558,338","547,855","465,008","487,758",1.91,"1,099,563",-49.22,14.55
1468,昶和,"81,802","84,741","101,263","118,037",-3.47,"83,704",-2.27,12.55
1470,大統新創,"65,108","84,433","73,372","76,700",-22.89,"35,419",83.82,16.05
1471,首利,"17,251","23,511","29,005","40,805",-26.63,"146,551",-88.23,8.5
1472,三洋紡,"38,944","46,556","81,123","51,915",-16.35,"28,745",35.48,9.55
1473,台南,"598,052","350,096","183,663","384,725",70.83,"530,119",12.81,17.9
1474,弘裕,"319,317","270,784","273,149","265,400",17.92,"242,144",31.87,14.3
1475,業旺,"34,187","10,071","16,641","10,945",239.46,"9,420",262.92,33.95
1476,儒鴻,"3,464,533","3,224,171","3,404,550","3,158,046",7.46,"2,733,446",26.75,567.0
1477,聚陽,"3,049,327","2,214,611","1,560,469","2,345,903",37.69,"2,220,229",37.34,236.0
1503,士電,"2,189,672","2,423,094","2,167,952","2,429,347",-9.63,"1,901,013",15.18,51.6
1504,東元,"4,344,329","4,867,469","4,439,686","4,181,903",-10.75,"3,940,025",10.26,30.15
1506,正道,"91,323","98,750","81,044","67,722",-7.52,"60,308",51.43,10.0
1507,永大,"1,529,626","1,510,028","1,640,398","1,494,053",1.3,"1,374,677",11.27,60.3
1512,瑞利,"68,620","107,317","75,439","102,657",-36.06,"154,684",-55.64,4.45
1513,中興電,"1,246,976","1,339,572","1,043,468","1,678,387",-6.91,"1,087,951",14.62,47.6
1514,亞力,"525,318","506,362","452,007","386,044",3.74,"416,869",26.02,26.0
1515,力山,"1,249,931","2,014,978","1,497,563","1,471,519",-37.97,"1,083,857",15.32,73.5
1516,川飛,"134,181","122,211","111,248","191,365",9.79,"65,520",104.79,20.35
1517,利奇,"426,869","419,359","408,181","385,312",1.79,"350,337",21.85,27.7
1519,華城,"641,898","971,935","723,841","683,460",-33.96,"613,204",4.68,40.0
1521,大億,"391,699","408,417","440,727","392,103",-4.09,"323,713",21.0,44.7
1522,堤維西,"1,371,797","1,442,880","1,362,275","1,359,787",-4.93,"1,320,186",3.91,20.95
1524,耿鼎,"161,428","170,815","165,284","121,778",-5.5,"174,998",-7.75,9.9
1525,江申,"120,926","133,340","123,191","116,157",-9.31,"104,552",15.66,67.0
1526,日馳,"159,132","167,887","160,701","155,818",-5.21,"120,977",31.54,50.8
1527,鑽全,"433,095","417,884","443,928","335,787",3.64,"301,298",43.74,48.45
1528,恩德,"310,150","281,614","307,483","287,133",10.13,"248,639",24.74,11.35
1529,樂士,"14,822","91,721","13,803","20,595",-83.84,"51,559",-71.25,15.75
1530,亞崴,"291,536","340,016","311,606","311,109",-14.26,"319,293",-8.69,38.15
1531,高林股,"227,863","285,602","213,474","260,585",-20.22,"126,347",80.35,15.6
1532,勤美,"1,794,654","986,696","994,013","1,289,068",81.89,"969,679",85.08,32.85
1533,車王電,"270,505","218,006","257,699","229,800",24.08,"208,813",29.54,53.7
1535,中宇,"635,419","622,844","660,989","640,253",2.02,"705,915",-9.99,39.4
1536,和大,"526,374","515,758","601,926","558,067",2.06,"368,145",42.98,94.7
1537,廣隆,"402,326","688,504","644,513","611,767",-41.57,"614,533",-34.53,141.0
1538,正峰,"20,779","24,304","28,609","18,568",-14.5,"25,752",-19.31,nan
1539,巨庭,"315,567","223,175","272,787","243,445",41.4,"206,821",52.58,17.6
1540,喬福,"21,409","35,648","36,859","42,144",-39.94,"21,026",1.82,15.75
1541,錩泰,"585,150","439,989","491,464","475,146",32.99,"513,506",13.95,44.75
1558,伸興,"866,648","812,459","643,327","800,381",6.67,"735,104",17.89,162.5
1560,中砂,"517,447","499,253","507,991","480,526",3.64,"439,426",17.76,66.4
1568,倉佑,"149,174","154,483","120,537","155,613",-3.44,"154,499",-3.45,24.9
1582,信錦,"834,805","826,018","825,639","873,364",1.06,"772,978",8.0,77.0
1583,程泰,"569,259","595,592","567,389","594,390",-4.42,"482,880",17.89,66.7
1587,吉茂,"216,327","209,596","195,806","221,466",3.21,"155,055",39.52,27.85
1589,永冠-KY,"756,793","779,538","678,178","777,036",-2.92,"802,373",-5.68,70.2
1590,亞德客-KY,"2,253,509","2,376,162","2,233,597","2,426,662",-5.16,"1,754,776",28.42,943.0
1592,英瑞-KY,"11,803","80,120","82,178","83,962",-85.27,"486,145",-97.57,Error
1597,直得,"166,052","165,908","162,123","161,737",0.09,"113,076",46.85,102.5
1598,岱宇,"751,159","819,589","959,845","1,004,666",-8.35,"1,042,445",-27.94,73.4
1603,華電,"143,362","152,772","161,627","148,748",-6.16,"200,574",-28.52,26.95
1604,聲寶,"772,952","788,114","838,750","683,761",-1.92,"835,946",-7.54,30.6
1605,華新,"14,448,725","14,184,106","12,770,540","12,244,761",1.87,"8,900,885",62.33,27.45
1608,華榮,"906,578","935,989","880,343","808,397",-3.14,"559,833",61.94,24.9
1609,大亞,"2,347,019","2,758,445","2,373,863","2,105,240",-14.92,"1,613,994",45.42,26.95
1611,中電,"140,077","131,457","145,031","147,596",6.56,"183,152",-23.52,10.8
1612,宏泰,"520,618","578,338","541,426","496,329",-9.98,"318,163",63.63,23.45
1614,三洋電,"565,435","523,873","613,425","453,266",7.93,"694,427",-18.58,33.75
1615,大山,"384,511","238,655","343,992","885,445",61.12,"365,987",5.06,34.45
1616,億泰,"258,305","305,540","284,397","204,612",-15.46,"218,417",18.26,9.58
1617,榮星,"437,288","457,023","392,786","445,931",-4.32,"235,203",85.92,18.75
1618,合機,"153,537","131,414","445,601","176,037",16.83,"505,642",-69.64,13.7
1626,艾美特-KY,"717,532","1,346,111","1,375,276","1,147,031",-46.7,"699,808",2.53,25.2
1701,中化,"632,685","677,409","717,855","647,486",-6.6,"634,856",-0.34,22.7
1702,南僑,"1,492,597","1,602,134","1,647,810","1,680,650",-6.84,"1,404,101",6.3,49.25
1707,葡萄王,"861,043","821,032","920,329","762,506",4.87,"740,937",16.21,167.0
1708,東鹼,"390,366","440,138","292,402","415,078",-11.31,"329,276",18.55,34.15
1709,和益,"619,917","812,640","899,382","754,119",-23.72,"677,623",-8.52,20.25
1710,東聯,"2,439,130","2,197,770","2,476,338","2,601,336",10.98,"1,306,235",86.73,21.8
1711,永光,"712,261","772,271","783,261","793,963",-7.77,"591,468",20.42,18.55
1712,興農,"1,595,355","1,675,034","1,543,796","1,509,545",-4.76,"1,457,145",9.48,22.85
1713,國化,"62,372","56,432","51,729","47,429",10.53,"36,624",70.3,22.65
1714,和桐,"1,642,419","1,545,691","1,622,275","1,732,500",6.26,"1,888,300",-13.02,11.4
1717,長興,"4,240,587","4,175,807","4,316,922","4,718,326",1.55,"3,203,507",32.37,36.35
1718,中纖,"2,880,141","2,548,978","2,587,885","2,680,593",12.99,"2,675,847",7.63,10.55
1720,生達,"358,516","315,438","443,535","390,132",13.66,"340,386",5.33,37.95
1721,三晃,"180,460","243,448","230,490","212,536",-25.87,"220,390",-18.12,9.35
1722,台肥,"901,496","1,027,962","728,505","858,319",-12.3,"919,353",-1.94,58.2
1723,中碳,"749,190","659,493","642,982","649,410",13.6,"335,847",123.07,109.5
1724,台硝,"163,693","170,732","161,593","206,642",-4.12,"158,111",3.53,15.9
1725,元禎,"936,501","971,267","931,594","975,515",-3.58,"489,248",91.42,20.05
1726,永記,"717,208","739,969","764,047","673,100",-3.08,"669,485",7.13,75.4
1727,中華化,"169,359","154,334","148,585","157,320",9.74,"138,401",22.37,14.5
1730,花仙子,"208,792","201,851","190,970","185,384",3.44,"245,741",-15.04,65.5
1731,美吾華,"118,445","94,571","99,623","116,540",25.24,"93,714",26.39,18.8
1732,毛寶,"43,092","51,773","54,893","55,982",-16.77,"52,806",-18.4,27.35
1733,五鼎,"172,367","155,945","170,873","157,667",10.53,"194,017",-11.16,24.15
1734,杏輝,"163,286","200,857","202,915","202,986",-18.71,"200,095",-18.4,39.0
1735,日勝化,"303,074","308,415","275,343","286,670",-1.73,"190,362",59.21,17.9
1736,喬山,"2,043,439","2,268,750","2,035,765","2,259,849",-9.93,"2,171,215",-5.88,73.4
1737,臺鹽,"315,171","313,844","362,608","309,644",0.42,"247,573",27.3,32.8
1760,寶齡富錦,"170,936","179,623","254,243","99,343",-4.84,"102,966",66.01,78.9
1762,中化生,"196,314","230,689","189,610","79,533",-14.9,"124,018",58.29,67.9
1773,勝一,"982,433","920,823","945,261","855,267",6.69,"597,201",64.51,154.5
1776,展宇,"119,189","125,878","115,808","136,020",-5.31,"100,301",18.83,17.9
1783,和康生,"35,208","48,042","43,113","29,919",-26.71,"26,159",34.59,72.1
1786,科妍,"31,034","53,961","42,418","30,424",-42.49,"26,917",15.3,56.3
1789,神隆,"207,723","247,008","266,566","234,064",-15.9,"343,506",-39.53,25.25
1795,美時,"1,107,853","1,361,956","1,156,527","1,157,472",-18.66,"1,116,873",-0.81,135.5
1802,台玻,"5,311,638","4,975,212","5,151,765","4,954,460",6.76,"3,692,449",43.85,37.25
1805,寶徠,"7,754","6,239","3,456","46,952",24.28,"5,143",50.77,13.65
1806,冠軍,"304,242","283,015","273,149","272,636",7.5,"299,541",1.57,11.6
1808,潤隆,"1,129,769","878,578","444,247","816,258",28.59,"607,537",85.96,61.8
1809,中釉,"212,538","166,368","189,192","178,576",27.75,"165,601",28.34,13.3
1810,和成,"406,366","400,043","499,694","455,094",1.58,"423,362",-4.01,11.15
1817,凱撒衛,"186,122","210,139","199,880","205,788",-11.43,"212,883",-12.57,37.7
1903,士紙,"15,714","13,814","72,120","13,658",13.75,"11,790",33.28,56.7
1904,正隆,"3,741,899","3,892,284","3,929,849","3,720,469",-3.86,"3,364,103",11.23,41.15
1905,華紙,"1,778,229","1,882,754","1,920,789","1,937,683",-5.55,"1,496,446",18.83,25.35
1906,寶隆,"44,075","32,253","33,531","13,997",36.65,"148,465",-70.31,20.4
1907,永豐餘,"6,959,305","7,461,567","7,763,627","7,325,248",-6.73,"6,012,155",15.75,38.2
1909,榮成,"5,037,131","4,924,748","5,212,273","3,813,448",2.28,"3,862,177",30.42,27.45
2002,中鋼,"41,883,163","38,823,509","39,718,469","36,906,048",7.88,"24,688,800",69.64,38.0
2006,東和鋼鐵,"4,932,499","4,879,623","4,969,569","5,071,187",1.08,"3,515,727",40.3,46.6
2007,燁興,"650,045","598,924","602,404","552,310",8.54,"376,587",72.61,31.6
2008,高興昌,"174,694","130,418","130,587","127,751",33.95,"62,950",177.51,25.7
2009,第一銅,"276,739","289,521","270,259","242,517",-4.41,"180,791",53.07,57.0
2010,春源,"2,271,034","2,321,306","2,256,068","2,204,533",-2.17,"1,662,858",36.57,28.65
2012,春雨,"996,244","1,038,579","968,215","949,483",-4.08,"668,069",49.12,32.85
2013,中鋼構,"1,492,706","1,236,313","1,180,440","1,083,852",20.74,"969,747",53.93,47.6
2014,中鴻,"5,201,624","4,834,658","4,551,071","4,011,635",7.59,"2,610,889",99.23,49.3
2015,豐興,"3,386,863","3,438,774","3,405,947","2,969,908",-1.51,"2,236,686",51.42,80.5
2017,官田鋼,"308,831","408,357","369,782","406,409",-24.37,"287,800",7.31,28.4
2020,美亞,"617,158","599,380","564,219","505,460",2.97,"427,611",44.33,34.95
2022,聚亨,"747,735","1,171,871","1,237,469","905,818",-36.19,"735,681",1.64,19.85
2023,燁輝,"8,464,226","8,508,687","7,556,716","7,040,344",-0.52,"4,079,373",107.49,34.65
2024,志聯,"141,690","132,035","154,100","130,363",7.31,"90,925",55.83,27.15
2025,千興,"223,154","86,583","62,440","83,818",157.73,"69,529",220.95,6.58
2027,大成鋼,"8,440,053","8,834,458","8,127,299","8,504,918",-4.46,"4,721,138",78.77,53.5
2028,威致,"1,377,514","1,054,936","1,168,458","1,002,548",30.58,"758,568",81.59,50.6
2029,盛餘,"1,290,069","1,278,394","1,121,146","1,245,262",0.91,"649,076",98.75,47.25
2030,彰源,"1,279,723","1,314,622","1,308,810","1,131,432",-2.65,"907,595",41.0,38.65
2031,新光鋼,"1,311,866","1,309,641","1,372,935","1,187,740",0.17,"1,010,454",29.83,74.1
2032,新鋼,"314,654","248,788","350,601","276,624",26.47,"298,767",5.32,34.15
2033,佳大,"71,323","68,164","78,403","68,627",4.63,"78,109",-8.69,24.7
2034,允強,"1,868,463","1,721,703","1,440,575","1,268,314",8.52,"942,357",98.28,39.8
2038,海光,"776,281","803,879","803,225","805,877",-3.43,"620,794",25.05,45.5
2049,上銀,"2,500,543","2,443,235","2,369,013","2,236,269",2.35,"2,041,883",22.46,338.5
2059,川湖,"554,402","474,943","506,542","508,572",16.73,"415,964",33.28,364.5
2062,橋椿,"1,015,858","865,121","759,126","763,375",17.42,"688,238",47.6,29.45
2069,運錩,"1,244,033","1,221,264","1,235,547","975,613",1.86,"610,247",103.86,41.2
2101,南港,"740,111","616,652","665,562","629,066",20.02,"977,260",-24.27,39.1
2102,泰豐,"119,970","116,457","105,742","111,960",3.02,"647,298",-81.47,27.2
2103,台橡,"2,643,167","2,693,929","2,815,223","3,011,563",-1.88,"1,874,026",41.04,32.2
2104,國際中橡,"1,867,376","1,954,928","1,895,748","2,028,567",-4.48,"1,460,543",27.85,25.2
2105,正新,"8,708,488","8,487,211","8,450,749","8,748,853",2.61,"8,988,799",-3.12,40.65
2106,建大,"3,148,766","3,043,061","3,009,523","3,107,767",3.47,"2,922,815",7.73,36.5
2107,厚生,"177,282","98,626","246,796","232,755",79.75,"226,746",-21.81,24.1
2108,南帝,"1,868,777","2,174,738","2,400,094","2,628,840",-14.07,"962,783",94.1,121.5
2109,華豐,"456,512","427,058","491,349","445,936",6.9,"451,151",1.19,17.55
2114,鑫永銓,"168,991","168,092","167,561","166,373",0.53,"130,146",29.85,149.5
2115,六暉-KY,"289,447","283,881","279,196","296,464",1.96,"229,210",26.28,43.15
2201,裕隆,"6,404,891","5,361,403","6,103,777","5,907,703",19.46,"8,250,370",-22.37,39.05
2204,中華,"2,553,427","2,180,119","2,749,367","2,621,175",17.12,"3,009,420",-15.15,69.9
2206,三陽工業,"3,757,907","2,987,781","3,527,776","3,712,547",25.78,"3,894,789",-3.51,27.35
2207,和泰車,"21,546,401","22,781,021","21,335,761","20,954,091",-5.42,"23,157,675",-6.96,582.0
2208,台船,"1,689,752","1,666,583","2,124,861","1,111,284",1.39,"2,248,381",-24.85,23.45
2211,長榮鋼,"1,017,164","963,484","849,579","788,423",5.57,"687,537",47.94,54.5
2227,裕日車,"1,605,381","1,244,310","2,316,993","2,590,565",29.02,"2,820,552",-43.08,252.0
2228,劍麟,"307,318","298,224","279,701","303,370",3.05,"234,231",31.2,72.1
2231,為升,"288,342","220,897","362,536","402,870",30.53,"181,683",58.71,175.0
2233,宇隆,"299,542","278,277","291,320","309,068",7.64,"208,152",43.91,124.0
2236,百達-KY,"99,620","133,152","113,038","92,363",-25.18,"97,355",2.33,26.25
2239,英利-KY,"1,599,534","1,820,107","1,744,061","1,866,501",-12.12,"1,833,385",-12.76,79.4
2241,艾姆勒,"100,516","96,028","86,067","85,375",4.67,"58,962",70.48,60.1
2243,宏旭-KY,"297,008","137,950","93,197","49,519",115.3,"11,716",2435.06,11.7
2247,汎德永業,"3,537,287","3,779,161","4,157,667","4,073,587",-6.4,"2,962,660",19.4,225.0
2250,IKKA-KY,"318,967","309,991","291,706","306,118",2.9,"310,452",2.74,152.5
2301,光寶科,"13,707,748","13,480,059","13,554,054","13,642,841",1.69,"13,117,685",4.5,61.2
2302,麗正,"75,433","58,945","65,627","65,856",27.97,"54,383",38.71,18.7
2303,聯電,"18,366,122","17,336,613","17,189,070","16,382,058",5.94,"15,494,823",18.53,60.1
2305,全友,"46,270","53,739","52,769","53,021",-13.9,"53,917",-14.18,8.13
2308,台達電,"26,377,260","26,204,497","26,126,461","26,438,926",0.66,"25,782,308",2.31,276.5
2312,金寶,"12,230,873","10,233,114","9,688,771","11,601,677",19.52,"11,757,738",4.02,12.6
2313,華通,"5,358,180","3,781,776","4,055,147","4,520,054",41.68,"5,076,659",5.55,40.65
2314,台揚,"316,031","374,577","316,202","310,826",-15.63,"336,710",-6.14,51.0
2316,楠梓電,"455,620","411,922","439,074","398,406",10.61,"460,984",-1.16,28.95
2317,鴻海,"418,015,118","401,616,787","455,034,482","500,490,784",4.08,"403,325,650",3.64,109.0
2321,東訊,"106,362","95,791","96,017","81,357",11.04,"84,314",26.15,6.8
2323,中環,"724,642","657,441","673,115","637,002",10.22,"765,724",-5.37,9.7
2324,仁寶,"107,988,216","91,440,133","80,201,551","89,350,327",18.1,"89,771,191",20.29,21.55
2327,國巨,"9,771,285","9,505,026","9,201,889","9,017,470",2.8,"7,009,693",39.4,529.0
2328,廣宇,"1,968,621","1,886,408","1,687,851","1,644,004",4.36,"1,785,353",10.27,40.0
2329,華泰,"1,337,611","1,373,990","1,406,100","1,368,280",-2.65,"1,079,272",23.94,29.7
2330,台積電,"124,557,799","148,470,660","112,359,668","111,314,794",-16.11,"105,963,468",17.55,586.0
2331,精英,"2,229,070","2,830,469","2,358,385","2,244,933",-21.25,"2,039,352",9.3,20.65
2332,友訊,"1,233,610","1,250,284","963,543","1,155,108",-1.33,"1,369,499",-9.92,18.05
2337,旺宏,"4,283,151","3,609,143","4,006,487","3,810,816",18.68,"3,139,283",36.44,40.8
2338,光罩,"514,829","519,735","492,410","479,967",-0.94,"397,967",29.36,80.5
2340,光磊,"584,038","543,597","330,354","509,918",7.44,"487,037",19.92,32.25
2342,茂矽,"174,014","167,143","172,198","138,952",4.11,"171,177",1.66,44.65
2344,華邦電,"9,089,871","8,722,245","8,207,005","8,304,909",4.21,"4,124,163",120.41,30.65
2345,智邦,"4,527,357","4,517,191","4,911,263","4,624,529",0.23,"4,124,487",9.77,330.0
2347,聯強,"31,859,885","33,736,979","31,570,759","31,828,300",-5.56,"29,044,225",9.69,53.7
2348,海悅,"314,953","339,116","328,232","423,915",-7.13,"359,808",-12.47,93.7
2349,錸德,"659,640","631,665","629,229","660,828",4.43,"601,933",9.59,10.15
2351,順德,"948,072","925,445","909,710","920,273",2.44,"667,242",42.09,142.5
2352,佳世達,"18,697,083","20,502,777","18,134,578","17,346,469",-8.81,"14,370,287",30.11,31.15
2353,宏碁,"26,101,937","30,019,319","24,806,745","24,949,924",-13.05,"23,240,567",12.31,25.7
2354,鴻準,"9,482,670","7,403,775","8,264,764","6,833,936",28.08,"11,334,512",-16.34,63.8
2355,敬鵬,"1,600,679","1,489,295","1,412,390","1,406,327",7.48,"1,221,604",31.03,32.25
2356,英業達,"45,511,321","41,271,513","35,337,345","38,194,670",10.27,"48,696,190",-6.54,23.5
2357,華碩,"37,573,755","47,945,921","40,995,436","39,139,014",-21.63,"37,141,186",1.16,319.0
2358,廷鑫,"226,282","279,628","136,839","162,805",-19.08,"117,824",92.05,21.3
2359,所羅門,"277,879","276,230","346,509","330,294",0.6,"297,529",-6.6,17.6
2360,致茂,"1,410,514","1,602,002","1,382,221","1,461,163",-11.95,"1,594,142",-11.52,180.0
2362,藍天,"2,380,819","2,240,847","2,272,324","1,858,099",6.25,"1,645,621",44.68,29.55
2363,矽統,"17,010","25,365","18,289","16,253",-32.94,"12,447",36.66,26.9
2364,倫飛,"74,986","59,214","83,807","93,000",26.64,"66,079",13.48,3.15
2365,昆盈,"100,339","89,936","59,041","87,361",11.57,"126,101",-20.43,10.8
2367,燿華,"1,131,471","906,504","925,657","1,027,439",24.82,"991,354",14.13,20.25
2368,金像電,"2,318,359","2,028,098","2,222,799","2,128,600",14.31,"2,147,302",7.97,66.7
